Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Mio Confort Abs Abcp	2020-12-22	$	650000	2014	Blanco	Nafta	5	Manual	1.2	Hatchback	77500	MLA901992049	normal	4_light_green	Renault	Clio	Bs.As. G.B.A. Sur	Lanús	Lanús Oeste
Renault Clio 1.2 Pack Plus	2020-12-18	$	414000	2007		Nafta	5	Manual	1.2	Hatchback	210000	MLA901517767	normal	none	Renault	Clio	Córdoba	Córdoba	none
Renault Clio 1.2 Mío Authentique Pack	2020-06-11	$	659900	2015	Negro	Nafta	5	Manual	1.2	Hatchback	56000	MLA896053224	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Chacarita
Renault Clio 1.2 Pack Plus	2020-12-18	$	440000	2007		Nafta	5	Manual	1.2	Hatchback	120000	MLA901521202	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Almirante Brown	none
Renault Clio 1.6 Sport	2020-12-20	$	700000	2001		Nafta	3	Manual	1.6	Hatchback	67000	MLA901762049	normal	none	Renault	Clio	Córdoba	Villa Carlos Paz	none
Renault Clio 1.2 Pack Plus	2020-11-27	$	520000	2011		Nafta	3	Manual	1.2	Hatchback	73250	MLA899095083	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Tres de febrero	none
Renault Clio 1.2 Mio Confort Pack	2020-12-16	$	719000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	66000	MLA901262914	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Oeste	Castelar	none
Renault Clio 1.2 Pack Plus	2020-12-14	$	510000	2008	Gris	Nafta	5	Manual	1.2	Hatchback	81700	MLA901028518	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lomas de Zamora	Banfield
Renault Clio 1.5 Dci Tric Pack Da+aa	2020-10-27	$	470000	2008		Diésel	4	Manual	1.5	Sedán	250000	MLA885674675	normal	5_green	Renault	Clio	Bs.As. G.B.A. Sur	Quilmes	none
Renault Clio 1.2 Gt Line. Vea El Video!!!	2020-11-14	$	619000	2014	Rojo	Nafta	5	Manual	1.2		91000	MLA897177825	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	Ingeniero Maschwitz
Renault Clio Full	2020-12-17	$	520000	2000		Nafta	4				104000	MLA901424443	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	none
Renault Clio 1.2 Mio Confort Pack	2020-12-18	$	760000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	89000	MLA901567872	car_dealer	4_light_green	Renault	Clio	Córdoba	Córdoba	San Martín
Renault Clio 1.2 Mio Confort Plus Abc	2020-12-18	$	599000	2014	Gris	Nafta	5	Manual	1.2	Hatchback	40000	MLA901548343	car_dealer	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Dynamique	2020-12-16	$	680000	2016	Blanco	Nafta	3	Manual	1.2	Hatchback	46000	MLA901314515	car_dealer	none	Renault	Clio	Capital Federal	Capital Federal	Monserrat
Renault Clio 1.2 Mío Authentique Pack Look	2020-09-11	$	650000	2014	Negro	Nafta	5	Manual	1.2	Hatchback	54000	MLA899680895	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	Lomas del Mirador
Renault Clio 1.9 Rnd Dh Aa Pk	2020-12-22	$	200000	2000		Diésel	3	Manual	1.9	Hatchback	218000	MLA902032860	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	La Plata	none
Renault Clio Clio Mio Dynamique 	2020-12-20	$	690000	2015		Nafta	5				49500	MLA901789363	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mío Authentique Pack Look	2020-02-12	$	680000	2014		Nafta	5	Manual	1.2	Hatchback	85000								
Renault Clio 1.2 Pack Plus	2017-04-08	$	498800	2011	Negro	Nafta	3	Manual	1.2	Hatchback	112000	MLA898397414	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lanús	Lanús Oeste
Renault Clio Dynamique 1.2 Nafta 	2020-10-09	$	640000	2015		Nafta	5				94000	MLA878033591	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Sur	Almirante Brown	none
