Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Peugeot 207 1.4 Quiksilver 75cv	22/12/2020	$	 680.000 	2012	Rojo	Nafta	5	Manual	1.4	Hatchback	 91.000 	MLA902006693	car_dealer	none	Peugeot	207	Córdoba	Córdoba	Las Palmas
Peugeot 207 1.6 Feline 106cv	21/12/2020	$	 700.000 	2013	Blanco	Nafta	3	Manual	1.6	Hatchback	 161.000 	MLA901902153	car_dealer	none	Peugeot	207	Santa Fe	Castellanos	Rafaela
Peugeot 207 1.4 Sedan Active 75cv	15/12/2020	$	 720.000 	2013		Nafta	4	Manual	1.4	Sedán	 73.000 	MLA901203254	car_dealer	none	Peugeot	207	Córdoba	Córdoba	none
Peugeot 207 1.9 Sedan Xs	12/10/2020	$	 650.000 	2010	Gris	Diésel	5	Manual	1.9	Sedán	 75.000 	MLA900516063	car_dealer	none	Peugeot	207	Buenos Aires Interior	Olavarría	Olavarría
Peugeot 207 1.4 Allure 75cv	12/10/2020	$	 790.000 	2015	Gris	Nafta	5	Manual	1.4	Hatchback	 35.000 	MLA900493622	car_dealer	none	Peugeot	207	Buenos Aires Interior	Bahía Blanca	none
Peugeot 207 1.4 Xs	28/11/2020	$	 660.000 	2011		Nafta	5	Manual	1.4	Hatchback	 100.000 	MLA899165446	car_dealer	none	Peugeot	207	Buenos Aires Interior	Ayacucho	none
Peugeot 207 1.4 Xr	13/11/2020	$	 620.000 	2011		Nafta	4	Manual	1.4	Hatchback	 98.000 	MLA897104996	car_dealer	none	Peugeot	207	Buenos Aires Interior	Ramallo	none
Peugeot 207 1.6 Feline 106cv	11/5/2020	$	 730.000 	2012	Gris	Nafta	3	Manual	1.6	Hatchback	 66.000 	MLA899860466	car_dealer	none	Peugeot	207	Capital Federal	Capital Federal	Villa Devoto
Peugeot 207 1.6 Xs	15/9/2020	$	 549.000 	2009	Gris	Nafta	5	Manual	1.6	Hatchback	 130.000 	MLA878937627	car_dealer	none	Peugeot	207	Córdoba	Córdoba	Villa Cabrera
Peugeot 207 1.4 Allure Hdi 70cv	9/12/2020	$	 615.000 	2013		Diésel	5	Manual	1.4	Hatchback	 104.000 	MLA878373152	car_dealer	none	Peugeot	207	Bs.As. G.B.A. Sur	Esteban Echeverría	none
Peugeot 207 1.4 Active 75cv	9/6/2020	$	 705.000 	2014	Gris	Nafta	5	Manual	1.4	Hatchback	 85.000 	MLA877024183	car_dealer	none	Peugeot	207	Córdoba	Córdoba	Villa Cabrera
Peugeot 207 1.4 Xr	18/8/2020	$	 520.000 	2010	Negro	Nafta	4	Manual	1.4	Hatchback	 90.000 	MLA899168653	car_dealer	none	Peugeot	207	Mendoza	San Rafael	San Rafael
